n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;powerlaw_ks;powerlaw_valid;powerlaw_reason;seed;beta;gamma;dim
100;275;5.5;32;0;0.5879663042842285;0.38696629213483147;3.15961411971059;2.742703652992585;3;86;0.19767441860465115;True;ok;6;0.01;0.5;2
100;223;4.46;14;0;0.5939877899877899;0.5061124694376528;4.8494960806271;2.6818267819275263;3;68;0.25122994645512087;True;ok;7;0.01;0.5;2
100;240;4.8;18;0;0.5831666519754756;0.4148191365227538;3.689149560117302;3.37381451131866;6;28;0.15784044644154027;True;ok;8;0.01;0.5;2
100;276;5.52;29;0;0.6463245190757934;0.39233817701453105;3.3597196454339313;2.57954727247178;3;80;0.22767596763606718;True;ok;9;0.01;0.5;2
100;308;6.16;98;1;0.7554859185978481;0.17137293086660174;1.9543434343434343;2.732329274925415;3;91;0.26060572818829075;True;ok;0;0.01;0.55;2
100;348;6.96;28;1;0.6318147939017504;0.4160316976531545;3.077979797979798;3.5211075734296617;9;24;0.125;True;ok;1;0.01;0.55;2
100;297;5.94;24;1;0.6166670611996699;0.4721984602224123;3.269187737748937;3.591865139293138;6;44;0.1590909090909091;True;ok;2;0.01;0.55;2
100;258;5.16;30;0;0.5993815601441842;0.38632075471698113;3.4332697807435655;2.746158127352068;3;79;0.21767079799724037;True;ok;3;0.01;0.55;2
100;241;4.82;48;0;0.6048302247397992;0.2949512843224092;3.274914089347079;2.9083459890820587;3;76;0.22510275665150964;True;ok;4;0.01;0.55;2
100;376;7.52;99;2;0.7965463236126376;0.23098039215686275;1.924040404040404;2.7774743281517633;4;80;0.175;True;ok;5;0.01;0.55;2
100;300;6.0;37;0;0.6231823091559935;0.38872620790629575;2.9182196886647667;2.6162374515064797;3;90;0.1829524753032501;True;ok;6;0.01;0.55;2
100;242;4.84;18;0;0.5967924395865574;0.488231338264963;4.395833333333333;3.8572041345788035;5;47;0.2127659574468085;True;ok;7;0.01;0.55;2
100;254;5.08;21;0;0.602016217442688;0.4014300306435138;3.59588327253778;2.2209071365261734;2;89;0.19101123595505617;True;ok;8;0.01;0.55;2
100;303;6.06;39;0;0.7289224583408794;0.3863789615643965;3.0606060606060606;3.3662300965135485;5;55;0.2;True;ok;9;0.01;0.55;2
100;323;6.46;99;1;0.7527662337662336;0.18334108887854816;1.9347474747474747;2.636896877003117;3;93;0.23577870989416772;True;ok;0;0.01;0.6;2
