n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;seed;beta;gamma;dim
100;912;18.24;46;5;0.6239593302731636;0.5176326280282122;2.115959595959596;5.4592495507893855;23;29;9;0.05;0.18;2
100;838;16.76;62;4;0.6158623048636389;0.492979813196746;2.1157575757575757;4.976268226442064;21;25;0;0.05;0.19;2
100;1079;21.58;44;5;0.6406023556353999;0.5327600909607731;2.0068686868686867;2.616150480991208;11;93;1;0.05;0.19;2
100;1033;20.66;44;8;0.620228869468173;0.5274409301162646;2.0315151515151517;4.86450795570261;21;49;2;0.05;0.19;2
100;815;16.3;41;3;0.6029551571759978;0.5067745197168857;2.211919191919192;4.993369379433939;18;34;3;0.05;0.19;2
100;750;15.0;46;4;0.6031155074419658;0.5004999615414198;2.2418181818181817;4.294672865037777;14;55;4;0.05;0.19;2
100;1007;20.14;99;8;0.6660884862967731;0.49186818305321583;1.7965656565656565;4.441775275596726;23;30;5;0.05;0.19;2
100;903;18.06;48;4;0.631974718420643;0.5166107893934776;2.1276767676767676;4.676367501150943;22;32;6;0.05;0.19;2
100;851;17.02;39;4;0.623678286125936;0.5110992718877642;2.1591919191919193;3.101906445479228;11;81;7;0.05;0.19;2
100;848;16.96;42;5;0.5988506078317598;0.5082601054481547;2.179393939393939;3.069546805669842;11;80;8;0.05;0.19;2
100;918;18.36;48;5;0.6261062374028369;0.5159437811697144;2.1014141414141414;5.491310284064494;23;30;9;0.05;0.19;2
100;848;16.96;68;4;0.6209080055876501;0.48966438276622926;2.0745454545454547;4.829926668074741;21;25;0;0.05;0.2;2
100;1092;21.84;46;5;0.6419699238867699;0.5325302041383141;1.9943434343434343;2.6053194954826253;11;94;1;0.05;0.2;2
100;1040;20.8;44;8;0.6212772814782681;0.5279250400690421;2.026060606060606;4.759872238753077;21;49;2;0.05;0.2;2
100;826;16.52;45;3;0.6055383660103589;0.5062903330943224;2.190909090909091;3.598773073509014;12;78;3;0.05;0.2;2
100;760;15.2;47;4;0.6006879145958978;0.5007110246239054;2.230909090909091;5.146049753606029;22;13;4;0.05;0.2;2
100;1019;20.38;99;8;0.6679966569393017;0.49378175475847425;1.794141414141414;4.313411534479164;23;30;5;0.05;0.2;2
100;913;18.26;51;4;0.6323150203468391;0.5150960205899822;2.1103030303030303;4.890663803186932;24;26;6;0.05;0.2;2
100;857;17.14;40;4;0.6245238723844767;0.5107015804513909;2.15010101010101;3.0750478054096604;11;81;7;0.05;0.2;2
100;857;17.14;42;5;0.600338467793222;0.5089700234997421;2.1686868686868688;3.3282538487002693;13;65;8;0.05;0.2;2
100;928;18.56;48;5;0.6288526359468307;0.5167258732978094;2.0894949494949495;5.271332118501179;23;30;9;0.05;0.2;2
100;863;17.26;70;5;0.6261093910728618;0.4890939597315436;2.047878787878788;3.7767843396882412;15;52;0;0.05;0.21;2
100;1105;22.1;46;5;0.6421298392494781;0.5333197472997758;1.986060606060606;2.773193176612044;12;92;1;0.05;0.21;2
100;1054;21.08;49;8;0.62588754872518;0.5285617610763903;2.008080808080808;4.252011415719053;20;52;2;0.05;0.21;2
100;833;16.66;45;3;0.6070724045219219;0.5060356390113049;2.183838383838384;3.755501036195884;13;69;3;0.05;0.21;2
100;767;15.34;47;4;0.6042467283379304;0.5005857372968224;2.215353535353535;4.84943280850745;18;29;4;0.05;0.21;2
100;1028;20.56;99;8;0.6699316664706235;0.49457918855482286;1.7923232323232323;4.679286698126844;25;26;5;0.05;0.21;2
100;923;18.46;53;4;0.6352234688123353;0.5154778577292704;2.0983838383838385;5.2010236499969285;25;25;6;0.05;0.21;2
100;860;17.2;40;4;0.6238929327005373;0.5114012184508268;2.1484848484848484;3.3209244185320315;12;76;7;0.05;0.21;2
